class10_percentage,class12_percentage,mathematics,physics,chemistry,entrance_score,academic_consistency,achievements_count,certifications_count,extracurricular_score,suitability_score,recommendation_label,category_code
81.76,81.19,93.28,86.33,79.61,79.51,99.43,3,0,77.33,81.99,Recommended,2
71.99,78.3,80.82,74.71,96.23,94.11,93.69,1,1,68.12,81.87,Recommended,2
75.08,67.38,65.62,72.51,80.84,68.37,92.29,2,0,49.94,67.06,Review Required,1
71.98,71.33,81.57,50.05,84.13,61.33,99.35,0,1,65.03,66.94,Review Required,1
96.52,77.22,68.18,72.47,65.35,88.21,80.69,3,0,76.73,73.46,Recommended,2
77.87,80.7,85.29,86.02,70.36,90.17,97.17,0,1,53.43,78.63,Recommended,2
67.42,75.37,81.58,67.94,49.86,84.24,92.05,2,2,68.95,77.34,Recommended,2
86.23,79.49,90.22,81.23,72.96,91.47,93.27,1,2,52.25,78.43,Recommended,2
65.79,81.65,100.0,86.62,92.09,100.0,84.15,0,0,64.23,86.19,Highly Recommended,3
80.09,69.26,75.87,70.05,79.26,99.27,89.17,1,2,49.71,75.18,Recommended,2
58.4,52.17,54.04,63.22,60.26,49.24,93.76,3,3,48.13,52.08,Low Recommendation,0
64.72,70.1,72.32,64.44,74.44,91.45,94.62,1,0,75.1,75.13,Recommended,2
79.97,87.35,67.83,84.08,79.51,81.67,92.61,0,1,61.3,78.28,Recommended,2
85.38,96.24,85.23,98.47,94.49,93.58,89.14,3,3,62.71,87.1,Highly Recommended,3
79.71,75.13,72.25,79.16,85.75,53.65,95.41,0,1,60.5,66.65,Review Required,1
76.84,85.42,78.82,78.93,68.93,78.65,91.42,0,0,100.0,77.06,Recommended,2
74.99,75.18,77.91,79.87,81.12,66.48,99.8,2,2,79.11,71.22,Recommended,2
63.21,65.87,61.18,78.25,81.12,75.76,97.35,1,0,80.72,71.59,Recommended,2
70.8,79.63,90.93,60.24,77.0,96.08,91.17,1,2,58.37,84.18,Recommended,2
73.39,79.59,79.7,92.31,88.13,53.82,93.8,1,2,77.57,68.45,Review Required,1
88.57,72.39,74.2,72.31,100.0,73.37,83.82,1,1,66.58,76.44,Recommended,2
81.44,91.82,85.58,93.53,88.39,99.42,89.62,3,0,58.25,88.33,Highly Recommended,3
60.37,76.3,78.78,90.38,82.82,74.79,84.07,1,1,98.94,75.24,Recommended,2
81.24,74.86,84.4,63.69,70.53,87.45,93.62,2,0,78.59,75.21,Recommended,2
74.15,78.07,69.88,72.56,81.9,78.4,96.08,0,1,77.84,75.41,Recommended,2
71.23,76.81,71.03,75.88,83.84,78.24,94.42,2,4,55.42,80.05,Recommended,2
84.12,83.97,79.94,75.94,86.05,77.31,99.85,1,1,50.95,74.03,Recommended,2
88.31,80.41,66.85,98.64,71.48,59.31,92.1,0,1,69.14,65.96,Review Required,1
87.31,78.75,70.87,71.55,82.61,61.39,91.43,1,0,61.4,70.36,Recommended,2
69.61,71.52,68.88,69.51,90.26,79.67,98.09,2,1,79.19,75.26,Recommended,2
74.91,84.82,92.36,86.42,89.16,86.1,90.09,1,2,80.19,84.46,Recommended,2
81.31,84.27,85.83,71.97,93.92,81.38,97.04,1,2,70.98,82.35,Recommended,2
87.76,81.46,83.03,78.07,80.03,75.71,93.71,1,0,82.42,74.87,Recommended,2
73.21,80.42,88.82,84.47,89.18,79.03,92.79,1,1,72.9,77.37,Recommended,2
76.14,53.51,58.76,59.13,66.18,72.47,77.37,0,0,56.92,60.47,Review Required,1
66.94,79.05,83.19,79.4,71.24,75.87,87.89,1,3,67.03,80.64,Recommended,2
66.04,55.31,60.45,58.42,67.8,45.21,89.27,1,1,72.04,55.5,Review Required,1
86.13,80.39,82.94,66.13,71.75,89.26,94.26,1,1,83.93,81.75,Recommended,2
91.56,78.14,72.77,82.91,73.8,72.91,86.57,1,1,73.37,71.42,Recommended,2
77.28,66.74,45.67,89.27,74.28,60.34,89.46,1,0,61.43,64.14,Review Required,1
88.04,93.91,89.09,90.92,93.83,100.0,94.12,2,1,84.49,89.22,Highly Recommended,3
81.62,76.39,91.52,80.73,67.05,81.92,94.77,1,0,75.71,82.55,Recommended,2
71.55,75.86,86.15,85.03,89.12,83.27,95.69,1,1,93.19,77.5,Recommended,2
81.61,79.75,89.47,68.13,86.95,68.54,98.14,2,0,71.31,73.12,Recommended,2
93.38,92.18,100.0,100.0,82.64,89.24,98.8,1,1,54.44,84.93,Recommended,2
77.64,77.96,79.36,81.6,64.64,85.24,99.68,2,1,87.65,79.3,Recommended,2
93.65,78.29,80.69,96.12,78.79,59.93,84.64,0,1,61.35,71.94,Recommended,2
51.8,67.23,64.25,64.73,68.26,70.0,84.57,1,1,74.43,70.43,Recommended,2
86.22,79.4,76.39,98.76,82.13,78.53,93.18,0,3,72.79,80.62,Recommended,2
78.87,65.76,75.48,78.78,68.08,71.99,86.89,1,0,70.68,66.98,Review Required,1
75.01,72.08,86.1,80.99,55.94,90.72,97.07,2,1,67.45,80.3,Recommended,2
78.92,90.25,86.29,90.51,84.49,89.63,88.67,0,3,45.22,82.11,Recommended,2
58.12,70.49,68.36,71.86,71.88,88.28,87.64,1,3,54.97,72.33,Recommended,2
75.8,73.27,74.96,88.3,83.16,62.37,97.47,2,0,86.83,71.57,Recommended,2
81.57,77.31,83.99,80.52,72.59,81.15,95.73,1,1,76.43,74.95,Recommended,2
92.78,85.37,69.59,65.09,100.0,78.0,92.59,2,2,98.64,81.82,Recommended,2
72.82,90.59,64.98,77.24,69.48,64.39,82.23,1,1,54.43,79.12,Recommended,2
69.92,75.0,70.74,75.64,91.11,84.77,94.92,1,0,69.54,75.82,Recommended,2
72.98,77.53,65.94,82.37,77.48,100.0,95.45,1,0,87.45,80.39,Recommended,2
87.15,92.25,84.11,89.01,98.33,85.34,94.9,0,0,61.51,85.0,Highly Recommended,3
81.29,81.81,79.88,94.46,83.43,85.74,99.48,0,1,62.72,79.92,Recommended,2
72.7,71.82,69.33,55.76,87.23,72.47,99.12,0,1,65.6,70.42,Recommended,2
83.13,79.62,94.24,82.17,77.27,75.98,96.49,0,1,63.32,74.68,Recommended,2
78.97,77.71,81.55,61.21,68.85,56.85,98.74,2,0,77.98,69.56,Review Required,1
87.69,84.08,86.07,91.46,98.38,74.59,96.4,0,0,43.3,83.77,Recommended,2
70.98,78.51,85.1,79.01,79.25,63.74,92.47,2,1,94.64,69.1,Review Required,1
74.72,75.72,65.4,82.2,80.71,91.9,99.0,0,2,55.61,75.1,Recommended,2
74.08,80.72,90.93,72.86,94.23,82.28,93.36,0,1,38.24,77.75,Recommended,2
63.36,66.71,69.27,84.49,62.04,65.24,96.66,0,3,69.85,68.59,Review Required,1
80.96,80.3,86.93,91.63,87.56,92.56,99.34,0,1,64.34,85.94,Highly Recommended,3
80.61,63.44,56.86,75.24,64.24,49.66,82.83,1,0,67.33,60.51,Review Required,1
78.05,84.97,68.19,83.18,83.46,67.06,93.08,1,0,74.69,70.57,Recommended,2
75.65,78.73,87.23,85.91,81.26,82.2,96.92,3,0,79.67,78.48,Recommended,2
63.85,75.68,80.52,70.9,63.46,89.82,88.17,1,0,95.3,76.3,Recommended,2
73.79,51.49,49.59,69.6,54.22,61.45,77.69,2,1,59.65,55.69,Review Required,1
74.57,91.91,80.23,100.0,100.0,86.84,82.66,2,3,81.61,87.39,Highly Recommended,3
69.98,70.87,84.4,85.31,84.05,78.05,99.11,0,0,80.63,72.15,Recommended,2
76.39,85.34,72.11,77.44,84.4,82.78,91.05,0,1,30.39,76.77,Recommended,2
82.04,72.11,90.51,79.09,78.47,82.47,90.07,1,0,57.5,77.69,Recommended,2
96.86,95.71,82.77,79.06,89.14,74.03,98.84,1,0,50.7,79.99,Recommended,2
79.75,70.39,79.18,80.0,88.43,75.38,90.65,1,0,76.72,73.01,Recommended,2
80.58,74.41,72.52,81.59,75.6,60.89,93.84,1,1,75.07,73.68,Recommended,2
77.26,92.39,95.33,70.98,92.14,91.06,84.86,2,1,75.37,92.36,Highly Recommended,3
58.81,62.64,61.54,57.23,81.06,58.91,96.17,0,1,65.42,55.86,Review Required,1
77.73,79.15,77.74,77.58,73.05,100.0,98.58,2,0,66.93,83.11,Recommended,2
78.6,84.98,84.15,81.48,100.0,82.17,93.62,2,0,69.57,89.2,Highly Recommended,3
99.0,96.27,82.18,80.29,77.16,69.53,97.27,0,3,63.98,81.82,Recommended,2
76.08,77.46,85.5,83.11,95.97,78.57,98.62,1,1,81.66,78.96,Recommended,2
81.02,82.63,76.84,85.36,79.46,85.02,98.38,1,1,53.96,83.14,Recommended,2
77.65,96.58,90.15,90.67,90.25,100.0,81.07,1,1,58.27,92.0,Highly Recommended,3
66.31,68.96,61.78,65.71,54.99,60.22,97.35,1,1,71.82,65.49,Review Required,1
89.43,87.21,59.78,96.53,81.75,54.81,97.78,0,1,64.48,71.09,Recommended,2
85.52,91.27,86.54,100.0,78.66,95.93,94.25,0,0,53.37,88.51,Highly Recommended,3
85.91,91.98,100.0,84.55,83.47,75.23,93.93,0,2,77.98,85.0,Highly Recommended,3
68.91,80.73,88.39,75.39,80.52,77.42,88.18,0,1,61.42,79.56,Recommended,2
92.03,92.53,89.2,94.68,99.5,84.6,99.5,0,3,57.33,85.67,Highly Recommended,3
63.98,58.64,61.35,62.47,68.95,62.16,94.66,1,0,67.38,59.52,Review Required,1
83.87,94.78,91.31,89.95,94.52,97.7,89.09,1,1,56.6,85.78,Highly Recommended,3
99.0,83.13,87.82,90.59,72.57,75.18,84.13,1,3,69.49,78.0,Recommended,2
68.09,73.09,63.01,57.07,67.89,66.15,95.01,0,0,64.6,68.76,Review Required,1
72.34,67.6,81.84,85.5,90.96,74.61,95.26,1,0,62.31,73.91,Recommended,2
79.0,77.78,85.49,80.18,72.54,82.11,98.79,3,1,62.4,75.72,Recommended,2
72.97,76.71,84.71,74.58,95.72,80.74,96.26,1,0,84.93,73.66,Recommended,2
62.49,69.32,76.37,72.63,71.7,78.51,93.18,1,2,75.54,72.28,Recommended,2
78.69,81.46,81.29,81.64,82.41,90.22,97.23,0,3,44.36,83.43,Recommended,2
67.38,83.07,89.03,65.84,94.19,88.55,84.3,1,0,83.24,81.11,Recommended,2
82.74,84.54,89.33,99.13,97.21,89.99,98.19,1,1,77.75,82.84,Recommended,2
68.81,69.21,68.37,73.86,72.96,51.04,99.59,1,0,76.86,62.04,Review Required,1
93.5,96.16,86.39,96.74,88.51,88.62,97.34,1,1,83.32,90.14,Highly Recommended,3
70.17,81.63,82.24,91.66,81.95,86.3,88.53,1,1,70.23,84.63,Recommended,2
74.78,65.52,84.63,60.66,74.94,83.81,90.75,2,3,79.3,72.83,Recommended,2
86.14,88.07,73.66,91.39,95.8,71.39,98.06,2,2,63.03,81.88,Recommended,2
65.69,74.59,61.27,74.54,77.77,61.44,91.1,1,1,82.71,70.44,Recommended,2
80.27,76.81,79.26,87.24,85.42,70.54,96.54,2,0,73.27,71.99,Recommended,2
91.07,97.76,93.83,72.16,100.0,98.07,93.32,0,0,49.35,93.57,Highly Recommended,3
61.93,65.15,70.59,69.61,75.11,81.7,96.78,1,0,85.55,72.32,Recommended,2
79.85,79.9,82.36,74.9,84.45,75.01,99.95,1,0,68.07,73.42,Recommended,2
80.6,78.03,76.29,83.95,64.87,87.63,97.44,2,0,65.98,82.98,Recommended,2
85.82,83.2,97.3,87.94,57.27,88.68,97.38,2,0,63.36,82.74,Recommended,2
65.63,60.17,49.12,60.04,71.8,57.22,94.54,0,1,64.46,53.22,Low Recommendation,0
64.8,56.84,54.34,57.66,64.7,56.93,92.04,0,1,73.44,55.43,Review Required,1
83.22,94.01,89.47,89.7,85.78,97.35,89.21,0,3,55.19,87.26,Highly Recommended,3
80.97,72.9,58.25,67.07,79.01,71.37,91.93,1,0,46.47,66.29,Review Required,1
80.5,71.42,71.81,83.42,74.96,99.6,90.92,0,4,54.03,78.29,Recommended,2
81.46,62.8,83.71,65.27,80.98,63.38,81.33,1,1,75.73,65.43,Review Required,1
71.2,67.73,71.0,43.34,73.92,76.71,96.53,1,1,67.57,67.56,Review Required,1
80.32,68.64,73.79,69.3,66.21,65.62,88.32,0,1,86.7,67.44,Review Required,1
80.93,92.79,76.99,79.57,100.0,72.48,88.14,1,0,69.03,81.85,Recommended,2
70.86,80.68,74.34,65.16,79.69,76.88,90.18,3,2,82.64,74.31,Recommended,2
96.66,85.16,80.11,72.23,90.17,82.76,88.5,3,0,59.61,82.97,Recommended,2
82.74,98.94,91.03,95.35,89.5,100.0,83.8,0,0,63.47,89.64,Highly Recommended,3
66.09,77.11,90.65,92.27,72.94,79.9,88.97,0,3,70.14,80.33,Recommended,2
84.57,79.6,85.27,83.85,81.97,67.39,95.03,1,2,67.8,79.24,Recommended,2
68.25,50.78,46.97,54.48,61.66,57.38,82.53,1,1,66.39,53.05,Low Recommendation,0
85.87,99.0,96.72,98.86,99.12,68.39,86.87,1,2,56.92,85.45,Highly Recommended,3
89.59,74.59,80.93,72.62,75.04,76.1,85.01,1,0,46.22,70.34,Recommended,2
69.79,58.69,75.42,59.14,48.55,68.84,88.9,1,0,79.47,62.12,Review Required,1
87.63,92.52,100.0,78.22,85.59,100.0,95.11,3,1,77.79,95.4,Highly Recommended,3
82.13,99.0,84.1,76.78,100.0,99.92,83.13,1,0,60.79,92.81,Highly Recommended,3
86.22,94.43,82.71,87.2,88.24,79.81,91.79,1,2,75.68,85.59,Highly Recommended,3
96.97,95.39,78.97,93.35,89.4,82.93,98.42,3,3,67.5,81.39,Recommended,2
75.55,80.64,78.14,80.48,91.7,69.32,94.91,0,1,86.59,74.09,Recommended,2
70.46,79.15,84.03,76.25,73.7,66.73,91.31,0,1,50.32,76.84,Recommended,2
69.1,77.44,87.96,69.75,64.23,84.88,91.66,1,0,68.1,78.57,Recommended,2
69.84,74.14,74.84,82.98,75.81,59.31,95.7,0,1,66.9,70.19,Recommended,2
77.23,77.89,75.22,66.35,75.13,71.27,99.34,1,2,72.42,73.49,Recommended,2
81.41,79.49,81.13,88.4,71.39,67.31,98.08,0,1,93.06,73.67,Recommended,2
80.77,73.51,66.78,66.43,75.23,77.71,92.74,0,0,68.14,72.47,Recommended,2
86.27,81.14,100.0,74.28,87.09,100.0,94.87,0,2,81.15,83.26,Recommended,2
78.13,64.15,52.03,55.24,70.53,45.85,86.02,3,1,67.78,52.28,Low Recommendation,0
92.54,86.99,87.09,80.88,89.22,62.39,94.45,0,0,86.06,74.98,Recommended,2
75.35,67.84,91.12,82.24,91.26,77.08,92.49,2,0,81.29,75.75,Recommended,2
99.0,83.47,82.67,88.59,80.33,81.65,84.47,4,1,65.0,76.69,Recommended,2
84.26,83.42,80.66,93.18,86.51,83.26,99.16,0,1,63.92,81.63,Recommended,2
69.43,82.74,78.48,88.14,78.17,74.13,86.69,1,2,77.3,75.23,Recommended,2
67.29,77.45,76.28,68.18,71.2,74.09,89.84,2,0,60.17,70.75,Recommended,2
82.82,68.41,85.04,69.58,67.67,80.79,85.59,2,3,72.86,76.82,Recommended,2
75.77,68.12,48.97,64.88,68.53,74.32,92.35,1,1,64.66,66.38,Review Required,1
85.14,90.12,100.0,100.0,91.88,67.59,95.02,0,0,75.52,80.03,Recommended,2
82.73,73.05,60.55,64.17,100.0,64.01,90.32,1,1,67.58,68.35,Review Required,1
77.27,75.29,73.8,86.64,71.04,77.2,98.02,0,0,59.61,70.5,Recommended,2
69.53,76.07,72.76,87.18,74.56,63.52,93.46,0,0,86.58,72.34,Recommended,2
62.85,59.25,70.32,84.77,66.66,87.6,96.4,2,0,73.59,74.48,Recommended,2
73.53,75.32,60.51,73.63,82.17,61.7,98.22,2,1,69.2,69.95,Review Required,1
86.56,72.92,79.31,83.17,79.22,75.4,86.36,2,0,76.3,79.61,Recommended,2
80.14,74.29,95.96,99.82,90.36,89.77,94.15,1,0,44.93,76.88,Recommended,2
65.54,71.44,59.95,68.83,51.31,60.46,94.1,1,0,100.0,65.7,Review Required,1
79.73,66.07,71.45,55.9,48.06,47.85,86.34,2,1,70.37,55.42,Review Required,1
81.85,83.82,76.25,64.87,79.04,73.88,98.03,0,1,40.55,74.07,Recommended,2
69.16,71.26,77.7,82.01,86.43,86.94,97.91,2,0,87.96,77.99,Recommended,2
79.54,83.1,82.51,64.34,67.85,77.2,96.44,1,2,58.73,82.08,Recommended,2
78.58,79.8,73.43,77.14,51.19,66.14,98.78,3,2,85.66,72.3,Recommended,2
66.57,80.51,85.26,85.73,87.46,92.42,86.06,1,3,71.82,83.23,Recommended,2
81.58,81.11,98.87,83.63,84.59,83.02,99.53,2,1,46.44,83.88,Recommended,2
83.61,78.09,76.66,83.92,69.2,70.78,94.48,2,0,73.92,73.9,Recommended,2
88.83,86.16,91.82,87.53,75.73,87.98,97.33,1,0,72.82,88.92,Highly Recommended,3
88.54,89.32,74.06,100.0,78.04,89.6,99.22,0,0,87.28,87.07,Highly Recommended,3
64.22,68.35,61.7,63.32,74.58,95.6,95.88,1,2,77.83,77.31,Recommended,2
68.62,71.36,78.24,68.18,69.26,84.77,97.26,0,0,51.41,69.02,Review Required,1
83.15,75.59,91.53,70.19,83.34,95.77,92.44,1,2,85.03,87.54,Highly Recommended,3
83.14,75.89,80.48,86.43,50.06,71.48,92.76,2,3,63.79,71.52,Recommended,2
83.15,69.98,69.36,82.99,66.02,58.43,86.83,0,1,95.8,66.85,Review Required,1
99.0,99.0,94.24,98.81,83.06,93.05,100.0,2,1,64.68,90.34,Highly Recommended,3
83.71,71.65,61.23,86.99,73.16,69.44,87.94,1,0,66.83,66.77,Review Required,1
89.36,80.01,86.05,69.22,76.02,68.48,90.65,1,0,57.67,70.38,Recommended,2
87.54,78.53,87.72,96.64,88.38,79.4,90.99,0,1,62.52,79.62,Recommended,2
84.51,89.32,82.47,100.0,69.14,88.51,95.19,0,0,58.56,79.44,Recommended,2
74.85,73.03,70.07,83.48,77.12,76.57,98.19,3,0,87.65,73.77,Recommended,2
85.59,92.89,92.33,100.0,95.75,95.14,92.69,1,3,50.03,92.95,Highly Recommended,3
70.27,66.8,65.73,55.2,90.99,71.51,96.53,1,1,82.07,69.74,Review Required,1
75.63,78.17,77.97,74.48,75.34,71.37,97.46,1,1,82.43,75.46,Recommended,2
73.15,67.52,91.64,64.91,76.16,72.5,94.37,1,1,90.66,69.9,Review Required,1
78.82,95.33,89.03,98.95,73.79,74.36,83.48,1,1,70.66,79.63,Recommended,2
99.0,82.8,78.52,72.46,59.38,100.0,83.8,1,1,54.6,84.77,Recommended,2
59.33,67.01,63.78,79.48,81.01,67.48,92.32,1,1,67.42,66.4,Review Required,1
84.86,87.47,93.05,99.94,86.43,84.51,97.39,1,0,78.92,85.47,Highly Recommended,3
61.87,69.62,70.4,80.69,86.13,59.86,92.25,3,0,71.27,67.11,Review Required,1
73.28,72.81,68.12,78.81,62.78,100.0,99.53,2,1,75.5,81.24,Recommended,2
88.89,84.18,96.35,74.05,89.44,74.33,95.29,1,2,90.48,85.26,Highly Recommended,3
78.64,78.4,93.0,71.41,99.0,78.41,99.76,0,1,78.73,82.73,Recommended,2
67.22,68.88,65.66,85.71,78.04,73.8,98.34,0,1,72.98,65.08,Review Required,1
70.85,80.3,61.56,89.01,84.37,78.95,90.54,0,2,42.33,74.46,Recommended,2
84.8,99.0,100.0,93.91,94.41,100.0,85.8,4,0,58.24,91.02,Highly Recommended,3
70.7,68.03,64.17,68.44,57.55,89.57,97.33,3,0,63.93,75.01,Recommended,2
80.16,68.16,79.02,52.45,86.9,79.95,87.99,3,1,40.34,70.73,Recommended,2
78.46,77.21,58.21,68.34,73.4,56.5,98.76,0,0,53.36,66.71,Review Required,1
71.48,93.68,99.18,100.0,95.74,89.06,77.81,1,1,65.97,88.48,Highly Recommended,3
99.0,85.87,72.29,72.3,69.76,81.96,86.87,3,3,68.41,76.23,Recommended,2
84.34,95.15,98.67,93.5,79.91,100.0,89.19,2,0,77.59,90.53,Highly Recommended,3
57.75,76.85,77.78,88.87,93.61,60.08,80.9,2,1,66.92,67.76,Review Required,1
79.86,74.48,66.32,64.58,74.17,85.75,94.61,1,0,73.72,71.4,Recommended,2
71.38,77.52,74.07,81.11,94.25,77.79,93.86,2,0,63.73,72.54,Recommended,2
86.52,96.59,99.31,100.0,91.9,100.0,89.93,0,0,70.63,91.25,Highly Recommended,3
70.07,69.02,72.82,73.44,55.51,70.51,98.94,1,0,76.76,66.16,Review Required,1
76.85,75.17,82.22,100.0,87.04,67.85,98.32,0,1,92.09,76.65,Recommended,2
83.05,76.48,97.13,61.85,73.11,93.45,93.43,1,0,62.28,81.39,Recommended,2
86.66,75.54,61.01,88.47,85.36,77.48,88.88,1,2,72.16,75.33,Recommended,2
66.0,64.0,84.17,68.07,70.77,85.94,98.01,1,0,83.04,76.62,Recommended,2
74.65,65.47,70.14,78.55,56.09,69.08,90.81,0,3,48.41,66.06,Review Required,1
73.25,74.55,66.92,81.6,79.34,64.39,98.7,0,0,99.97,68.94,Review Required,1
71.47,66.87,56.85,64.48,94.43,45.78,95.4,2,1,87.69,66.19,Review Required,1
95.65,91.83,86.98,91.57,94.37,96.36,96.17,3,3,44.33,91.35,Highly Recommended,3
82.05,67.99,80.21,54.01,72.66,79.36,85.94,1,0,75.57,71.32,Recommended,2
65.39,71.42,72.29,81.03,86.32,60.9,93.97,2,2,61.53,68.83,Review Required,1
87.18,90.69,100.0,91.47,90.78,84.81,96.49,0,0,64.04,87.22,Highly Recommended,3
99.0,76.35,62.75,84.83,81.01,65.04,77.35,0,0,75.26,69.43,Review Required,1
88.32,87.82,85.74,97.05,75.8,66.63,99.5,2,1,85.76,79.76,Recommended,2
62.81,76.79,65.07,82.43,81.55,61.93,86.02,1,2,63.01,70.73,Recommended,2
73.16,64.53,72.04,71.65,81.24,56.02,91.38,1,2,63.21,61.74,Review Required,1
90.67,99.0,100.0,85.49,85.96,89.65,91.67,1,1,75.58,86.67,Highly Recommended,3
70.92,76.0,72.79,71.08,92.92,65.65,94.92,2,1,78.58,66.61,Review Required,1
82.44,75.07,50.26,89.41,77.13,45.61,92.63,2,1,54.89,64.64,Review Required,1
85.75,82.58,83.92,97.17,74.27,100.0,96.83,1,0,95.86,83.39,Recommended,2
68.73,75.58,81.05,75.52,88.37,92.68,93.15,3,1,60.35,81.42,Recommended,2
77.4,77.79,82.39,79.91,77.03,69.72,99.61,1,2,84.47,72.21,Recommended,2
50.0,62.31,79.09,59.57,76.97,74.83,87.69,1,1,76.78,65.52,Review Required,1
67.76,63.06,56.59,80.87,66.97,67.87,95.31,0,0,79.09,63.27,Review Required,1
75.47,77.19,84.69,85.69,78.89,94.04,98.29,1,2,60.64,82.5,Recommended,2
65.52,57.56,75.09,84.7,71.07,58.24,92.03,0,1,44.14,58.41,Review Required,1
94.32,88.14,68.32,77.91,89.84,90.69,93.81,3,1,69.68,81.64,Recommended,2
63.7,60.36,68.46,63.47,48.09,59.95,96.66,1,2,69.74,60.88,Review Required,1
73.6,68.64,66.43,75.36,62.46,53.0,95.04,0,2,55.63,59.4,Review Required,1
79.31,88.4,85.49,93.35,96.41,93.25,90.9,1,1,83.77,91.41,Highly Recommended,3
92.41,96.42,95.79,90.34,91.24,100.0,95.99,0,0,69.23,88.37,Highly Recommended,3
63.64,72.42,69.44,66.97,71.01,100.0,91.22,0,1,57.86,77.24,Recommended,2
89.63,77.0,71.0,87.72,65.78,59.8,87.37,0,2,78.78,72.97,Recommended,2
78.1,75.14,76.7,84.81,67.3,84.12,97.04,0,2,79.17,73.96,Recommended,2
68.18,80.43,69.45,72.14,61.48,70.04,87.75,1,1,59.25,71.37,Recommended,2
82.62,81.97,70.62,95.93,81.73,85.43,99.35,0,1,88.5,81.56,Recommended,2
79.99,97.55,99.95,100.0,87.35,76.36,82.44,0,1,100.0,86.02,Highly Recommended,3
72.0,76.55,65.92,79.92,69.38,56.83,95.45,2,1,53.65,66.88,Review Required,1
78.7,79.63,86.38,81.53,80.46,72.09,99.07,2,0,67.24,77.77,Recommended,2
74.15,72.43,78.95,81.24,79.89,76.5,98.28,0,1,75.06,73.2,Recommended,2
79.14,79.46,62.34,72.01,100.0,64.03,99.67,1,1,100.0,74.46,Recommended,2
84.62,81.02,73.99,82.01,66.97,84.91,96.39,1,1,58.99,79.15,Recommended,2
93.86,94.37,100.0,69.53,100.0,100.0,99.49,1,0,55.91,89.5,Highly Recommended,3
65.62,76.59,67.63,87.38,88.81,79.88,89.03,0,1,55.8,78.19,Recommended,2
99.0,86.01,79.87,69.59,77.7,100.0,87.01,2,2,88.32,84.03,Recommended,2
58.48,53.29,64.58,77.33,65.27,67.14,94.81,1,0,59.38,63.5,Review Required,1
76.48,61.85,74.22,64.99,64.48,54.82,85.37,0,3,57.25,58.92,Review Required,1
83.88,85.78,81.82,82.93,87.19,98.4,98.1,0,1,73.46,85.6,Highly Recommended,3
80.81,70.74,67.08,68.24,90.19,62.87,89.93,1,2,74.62,67.36,Review Required,1
71.77,56.02,76.24,61.33,71.15,78.83,84.24,0,1,86.07,67.83,Review Required,1
75.92,79.25,96.83,94.66,85.98,100.0,96.67,1,1,71.38,81.25,Recommended,2
